Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling,Total,Total Cases
DMP,47,220,245.0,363.0,3,1370.0,139,155,555,1915,7228,518.0,82,10535.0,144,11279,23519
CMP,16,108,94.0,31.0,7,455.0,37,31,123,314,1831,51.0,0,866.0,99,1016,4063
KMP,3,9,29.0,25.0,0,153.0,11,4,65,91,551,19.0,2,792.0,13,826,1767
RMP,4,20,21.0,9.0,15,157.0,9,12,53,106,578,3.0,4,332.0,248,587,1571
BMP,8,12,19.0,21.0,0,112.0,6,8,24,83,557,17.0,0,155.0,117,289,1139
SMP,12,33,33.0,34.0,1,104.0,14,12,33,154,866,14.0,0,154.0,20,188,1484
Dhaka Range,162,199,1153.0,362.0,7,4272.0,171,71,643,1477,19966,309.0,30,4459.0,993,5791,34274
Mymensingh Range,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0
Chittagong Range,153,122,639.0,245.0,32,,111,87,429,998,12985,235.0,20,4730.0,612,5597,24313
Sylhet Range,85,43,245.0,75.0,17,848.0,41,19,186,524,5266,30.0,4,905.0,172,1111,8460
Khulna Range,74,125,513.0,110.0,15,2275.0,156,25,332,947,9954,211.0,96,2292.0,1238,3837,18363
Barisal Range,38,37,207.0,,3,991.0,65,13,214,374,6561,33.0,5,334.0,33,405,9020
Rajshahi Range,54,130,757.0,276.0,29,4095.0,105,35,442,1442,20654,134.0,10,3614.0,2509,6267,34286
Rangpur Range,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0
Railway Range,0,1,33.0,3.0,1,5.0,5,1,2,104,142,,0,176.0,165,342,639
GMP,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0
RPMP,0,0,,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0
ATU,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,,0,0,0
Total,656,1059,3988.0,1666.0,130,17752.0,870,473,3101,8529,87139,1575.0,253,29344.0,6363,37535,162898
Sylhet Range,85,43,245.0,75.0,17,848.0,41,19,186,524,5266,30.0,4,905.0,172,1111,8460
